CODE,PHY456H1-F-20229-LEC-0101,PHY456H1-F-20229-LEC-2001
CAP,75,15
1656647689,0,0
1656655656,0,0
1656693722,0,0
1656799543,0,0
1657039029,0,0
1657124783,0,0
1657129900,0,0
1657154826,0,0
1657154927,0,0
1657157137,0,0
1657169424,0,0
1657171604,0,0
1657208564,0,0
1657224150,0,0
1657394888,0,0
1657522639,10,5
1657560897,10,5
1657592482,10,5
1657598158,10,5
1657657520,46,6
1657659549,46,6
1657678570,46,6
1657700365,46,6
1657734871,46,8
1657736010,46,8
1657737663,46,8
1657744779,46,8
1657780708,46,8
1657815709,46,9
1657827433,46,9
1657841414,46,9
1657851506,46,9
1657853745,46,9
1657868013,46,9
1657911016,52,9
1657914736,52,9
1657938194,52,9
1657991875,53,9
1658011950,53,9
1658085371,53,9
1658086263,53,9
1658101142,53,9
1658101460,53,9
1658117879,53,9
1658120793,53,9
1658149259,54,9
1658163599,54,9
1658192570,54,9
1658255570,53,9
1658255771,53,9
1658265950,53,9
1658282790,53,9
1658284116,53,9
1658341001,53,9
1658425295,54,9
1658438086,54,9
1658446145,54,9
1658446771,54,9
1658459993,54,9
1658514122,54,9
