CODE,JPE395H1-S-20229-LEC-0101,JPE395H1-S-20229-LEC-2001
CAP,75,15
1656647697,0,0
1656655667,0,0
1656693731,0,0
1656799552,0,0
1657039041,0,0
1657124791,0,0
1657129909,0,0
1657154834,0,0
1657154935,0,0
1657157146,0,0
1657169433,0,0
1657171616,0,0
1657208573,0,0
1657224158,0,0
1657394896,0,0
1657522648,2,2
1657560905,2,2
1657592491,2,2
1657598166,2,2
1657657537,14,2
1657659562,14,2
1657678580,14,2
1657700377,14,2
1657734892,14,2
1657736031,14,2
1657737680,14,2
1657744796,14,2
1657780717,14,2
1657815723,14,6
1657827444,14,6
1657841424,14,6
1657851524,14,6
1657853756,14,6
1657868023,14,6
1657911025,41,6
1657914749,41,6
1657938204,41,6
1657991885,41,6
1658011963,41,6
1658085387,41,6
1658086283,41,6
1658101152,41,6
1658101473,41,6
1658117893,41,6
1658120808,41,6
1658149282,41,6
1658163609,41,6
1658192584,41,6
1658255580,47,6
1658255781,47,6
1658265969,47,6
1658282799,47,6
1658284132,47,6
1658341011,47,6
1658425310,50,6
1658438101,50,6
1658446157,50,6
1658446785,50,6
1658460004,50,6
1658514131,50,6
