CODE,POL200Y1-Y-20229-LEC-0101,POL200Y1-Y-20229-LEC-5101
CAP,500,275
1656647691,0,0
1656655658,0,0
1656693725,0,0
1656799545,0,0
1657039032,0,0
1657124785,0,0
1657129902,0,0
1657154828,0,0
1657154929,0,0
1657157139,0,0
1657169427,0,0
1657171607,0,0
1657208567,0,0
1657224152,0,0
1657394890,0,0
1657522642,2,0
1657560899,2,0
1657592485,2,0
1657598160,2,0
1657657525,11,2
1657659552,11,2
1657678573,11,2
1657700368,11,2
1657734875,11,2
1657736016,11,2
1657737668,11,2
1657744785,11,2
1657780710,11,2
1657815712,12,2
1657827436,12,2
1657841417,12,2
1657851515,12,2
1657853748,12,2
1657868016,12,2
1657911019,55,8
1657914739,55,8
1657938197,55,8
1657991877,57,8
1658011954,57,8
1658085375,59,9
1658086268,59,9
1658101144,59,9
1658101464,59,9
1658117882,59,9
1658120797,59,9
1658149266,60,9
1658163601,60,9
1658192573,60,9
1658255573,399,126
1658255774,399,126
1658265957,399,126
1658282792,399,126
1658284123,399,126
1658341004,406,126
1658425299,409,128
1658438090,409,128
1658446148,409,128
1658446775,409,128
1658459996,409,128
1658514124,468,145
1658536180,468,145
1658552499,468,145
1658614187,470,148
1658631643,470,148
1658698075,472,149
1658768582,473,149
1658788813,473,149
1658856126,477,148
1658878858,477,148
1658879064,477,148
1658965226,478,149
1659041774,480,148
1659049569,480,148
1659055046,480,148
1659106104,479,147
1659116092,479,147
1659126300,479,147
1659137075,479,147
1659154614,479,147
1659160556,479,147
1659197512,479,156
1659228143,479,156
1659229850,479,156
1659252433,479,156
1659298086,481,158
