CODE,MGR245Y1-Y-20229-LEC-0101
CAP,25
1656647691,0
1656655658,0
1656693725,0
1656799545,0
1657039032,0
1657124785,0
1657129902,0
1657154828,0
1657154929,0
1657157139,0
1657169427,0
1657171607,0
1657208567,0
1657224152,0
1657394890,0
1657522642,0
1657560899,0
1657592485,0
1657598160,0
1657657525,3
1657659552,3
1657678573,3
1657700368,3
1657734875,2
1657736016,2
1657737668,2
1657744785,2
1657780710,2
1657815712,2
1657827436,2
1657841417,2
1657851515,2
1657853748,2
1657868016,2
1657911019,7
1657914739,7
1657938197,7
1657991877,8
1658011954,8
1658085375,8
1658086268,8
1658101144,8
1658101464,8
1658117882,8
1658120797,8
1658149266,8
1658163601,8
1658192573,8
1658255573,16
1658255774,16
1658265957,16
1658282792,16
1658284123,16
1658341004,16
1658425299,16
1658438090,16
1658446148,16
1658446775,16
1658459996,16
1658514124,18
1658536180,18
1658552499,18
1658614187,19
1658631643,19
1658698075,19
1658768582,19
1658788813,19
1658856126,20
1658878858,20
1658879064,20
1658965226,20
1659041774,20
1659049569,20
1659055046,20
1659106104,20
1659116092,20
1659126300,20
1659137075,20
1659154614,20
1659160556,20
1659197512,21
1659228143,21
1659229850,21
1659252433,21
1659298086,21
