CODE,POL385H1-S-20229-LEC-5101
CAP,50
1656647697,0
1656655667,0
1656693731,0
1656799552,0
1657039041,0
1657124791,0
1657129909,0
1657154834,0
1657154935,0
1657157146,0
1657169433,0
1657171616,0
1657208573,0
1657224158,0
1657394896,0
1657522648,0
1657560905,0
1657592491,0
1657598166,0
1657657537,3
1657659562,3
1657678580,3
1657700377,3
1657734892,3
1657736031,3
1657737680,3
1657744796,3
1657780717,3
1657815723,3
1657827444,3
1657841424,3
1657851524,3
1657853756,3
1657868023,3
1657911025,9
1657914749,9
1657938204,9
1657991885,9
1658011963,9
1658085387,9
1658086283,9
1658101152,9
1658101473,9
1658117893,9
1658120808,9
1658149282,9
1658163609,9
1658192584,9
1658255580,11
1658255781,11
1658265969,11
1658282799,11
1658284132,11
1658341011,11
1658425310,11
1658438101,11
1658446157,11
1658446785,11
1658460004,11
1658514131,11
1658536189,11
1658552506,11
1658614194,11
1658631652,11
1658698082,11
1658768591,11
1658788819,11
1658856132,11
1658878866,11
1658879072,11
1658965232,11
1659041782,11
1659049575,11
1659055055,11
1659106110,11
1659116097,11
1659126308,11
1659137081,11
1659154622,11
1659160562,11
1659197518,11
1659228149,11
1659229856,11
1659252439,11
1659298092,12
