CODE,CRI385H1-S-20229-LEC-0101
CAP,120
1656647697,0
1656655667,0
1656693731,0
1656799552,0
1657039041,0
1657124791,0
1657129909,0
1657154834,0
1657154935,0
1657157146,0
1657169433,0
1657171616,0
1657208573,0
1657224158,0
1657394896,0
1657522648,0
1657560905,0
1657592491,0
1657598166,0
1657657537,21
1657659562,21
1657678580,21
1657700377,21
1657734892,21
1657736031,21
1657737680,21
1657744796,21
1657780717,21
1657815723,22
1657827444,22
1657841424,22
1657851524,22
1657853756,22
1657868023,22
1657911025,77
1657914749,77
1657938204,77
1657991885,77
1658011963,77
1658085387,77
1658086283,77
1658101152,77
1658101473,77
1658117893,77
1658120808,77
1658149282,77
1658163609,77
1658192584,77
1658255580,106
1658255781,106
1658265969,106
1658282799,106
1658284132,106
1658341011,107
1658425310,107
1658438101,107
1658446157,107
1658446785,107
1658460004,107
1658514131,107
