CODE,PHY256H1-F-20229-LEC-0101
CAP,196
1656647689,0
1656655656,0
1656693722,0
1656799543,0
1657039029,0
1657124783,0
1657129900,0
1657154826,0
1657154927,0
1657157137,0
1657169424,0
1657171604,0
1657208564,0
1657224150,0
1657394888,0
1657522639,3
1657560897,3
1657592482,3
1657598158,3
1657657520,10
1657659549,10
1657678570,10
1657700365,10
1657734871,10
1657736010,10
1657737663,10
1657744779,10
1657780708,10
1657815709,11
1657827433,11
1657841414,11
1657851506,11
1657853745,11
1657868013,11
1657911016,59
1657914736,59
1657938194,59
1657991875,60
1658011950,60
1658085371,60
1658086263,60
1658101142,60
1658101460,60
1658117879,60
1658120793,60
1658149259,62
1658163599,62
1658192570,62
1658255570,228
1658255771,228
1658265950,228
1658282790,228
1658284116,228
1658341001,229
1658425295,231
1658438086,231
1658446145,231
1658446771,231
1658459993,231
1658514122,236
1658536177,236
1658552496,236
1658614184,238
1658631640,238
1658698072,239
1658768579,240
1658788810,240
1658856123,242
1658878855,242
1658879061,242
1658965224,243
1659041771,245
1659049567,245
1659055044,245
1659106101,245
1659116089,245
1659126296,245
1659137072,245
1659154611,245
1659160554,245
1659197509,248
1659228141,248
1659229848,248
1659252431,248
1659298084,248
