CODE,PDC321H1-S-20229-LEC-0101,PDC321H1-S-20229-LEC-0201,PDC321H1-S-20229-LEC-0301,PDC321H1-S-20229-LEC-5101
CAP,48,48,48,250
1656647697,0,0,0,0
1656655667,0,0,0,0
1656693731,0,0,0,0
1656799552,0,0,0,0
1657039041,0,0,0,0
1657124791,0,0,0,0
1657129909,0,0,0,0
1657154834,0,0,0,0
1657154935,0,0,0,0
1657157146,0,0,0,0
1657169433,0,0,0,0
1657171616,0,0,0,0
1657208573,0,0,0,0
1657224158,0,0,0,0
1657394896,0,0,0,0
1657522648,0,0,0,0
1657560905,0,0,0,0
1657592491,0,0,0,0
1657598166,0,0,0,0
1657657537,1,1,0,2
1657659562,1,1,0,2
1657678580,1,1,0,2
1657700377,1,1,0,2
1657734892,1,1,0,2
1657736031,1,1,0,2
1657737680,1,1,0,2
1657744796,1,1,0,2
1657780717,1,1,0,2
1657815723,1,1,0,2
1657827444,1,1,0,2
1657841424,1,1,0,2
1657851524,1,1,0,2
1657853756,1,1,0,2
1657868023,1,1,0,2
1657911025,12,15,2,36
1657914749,12,15,2,36
1657938204,12,15,2,36
1657991885,12,15,3,41
1658011963,12,15,3,41
1658085387,14,15,3,40
1658086283,14,15,3,40
1658101152,14,15,3,40
1658101473,14,15,3,40
1658117893,14,15,3,40
1658120808,14,15,3,40
1658149282,15,15,3,43
1658163609,15,15,3,43
1658192584,15,15,3,43
1658255580,15,16,3,49
1658255781,15,16,3,49
1658265969,15,16,3,49
1658282799,15,16,3,49
1658284132,15,16,3,49
1658341011,15,17,3,49
1658425310,15,17,3,49
1658438101,15,17,3,49
1658446157,15,17,3,49
1658446785,15,17,3,49
1658460004,15,17,3,49
1658514131,15,17,3,49
