CODE,MAT244H1-S-20229-LEC-0101,MAT244H1-S-20229-LEC-0201,MAT244H1-S-20229-LEC-5101
CAP,196,196,188
1656647697,0,0,0
1656655667,0,0,0
1656693731,0,0,0
1656799552,0,0,0
1657039041,0,0,0
1657124791,0,0,0
1657129909,0,0,0
1657154834,0,0,0
1657154935,0,0,0
1657157146,0,0,0
1657169433,0,0,0
1657171616,0,0,0
1657208573,0,0,0
1657224158,0,0,0
1657394896,0,0,0
1657522648,0,2,0
1657560905,0,2,0
1657592491,0,2,0
1657598166,0,2,0
1657657537,8,9,4
1657659562,8,9,4
1657678580,8,9,4
1657700377,8,9,4
1657734892,8,9,4
1657736031,8,9,4
1657737680,8,9,4
1657744796,8,9,4
1657780717,8,9,4
1657815723,8,9,4
1657827444,8,9,4
1657841424,8,9,4
1657851524,8,9,4
1657853756,8,9,4
1657868023,8,9,4
1657911025,32,35,11
1657914749,32,35,11
1657938204,32,35,11
1657991885,32,35,12
1658011963,32,35,12
1658085387,30,38,11
1658086283,30,38,11
1658101152,30,38,11
1658101473,30,38,11
1658117893,30,38,11
1658120808,30,38,11
1658149282,33,39,10
1658163609,33,39,10
1658192584,33,39,10
1658255580,145,105,38
1658255781,145,105,38
1658265969,145,105,38
1658282799,145,105,38
1658284132,145,105,38
1658341011,144,106,39
1658425310,145,109,39
1658438101,145,109,39
1658446157,145,109,39
1658446785,145,109,39
1658460004,145,109,39
1658514131,151,112,40
