CODE,PHL245H1-S-20229-LEC-0101,PHL245H1-S-20229-LEC-0102
CAP,500,300
1656647697,0,0
1656655667,0,0
1656693731,0,0
1656799552,0,0
1657039041,0,0
1657124791,0,0
1657129909,0,0
1657154834,0,0
1657154935,0,0
1657157146,0,0
1657169433,0,0
1657171616,0,0
1657208573,0,0
1657224158,0,0
1657394896,0,0
1657522648,0,0
1657560905,0,0
1657592491,0,0
1657598166,0,0
1657657537,13,28
1657659562,13,28
1657678580,13,28
1657700377,13,28
1657734892,14,32
1657736031,14,32
1657737680,14,32
1657744796,14,32
1657780717,14,32
1657815723,14,33
1657827444,14,33
1657841424,14,33
1657851524,14,33
1657853756,14,33
1657868023,14,33
1657911025,47,78
1657914749,47,78
1657938204,47,78
1657991885,48,81
1658011963,48,81
1658085387,50,81
1658086283,50,81
1658101152,50,81
1658101473,50,81
1658117893,50,81
1658120808,50,81
1658149282,50,83
1658163609,50,83
1658192584,50,83
1658255580,96,126
1658255781,96,126
1658265969,96,126
1658282799,96,126
1658284132,96,126
1658341011,97,126
1658425310,97,127
1658438101,97,127
1658446157,97,127
1658446785,97,127
1658460004,97,127
1658514131,100,131
