CODE,CSE340H1-F-20229-LEC-0101
CAP,40
1656647689,0
1656655656,0
1656693722,0
1656799543,0
1657039029,0
1657124783,0
1657129900,0
1657154826,0
1657154927,0
1657157137,0
1657169424,0
1657171604,0
1657208564,0
1657224150,0
1657394888,0
1657522639,0
1657560897,0
1657592482,0
1657598158,0
1657657520,13
1657659549,13
1657678570,13
1657700365,13
1657734871,12
1657736010,12
1657737663,12
1657744779,12
1657780708,12
1657815709,12
1657827433,12
1657841414,12
1657851506,12
1657853745,12
1657868013,12
1657911016,34
1657914736,34
1657938194,34
1657991875,34
1658011950,34
1658085371,34
1658086263,34
1658101142,34
1658101460,34
1658117879,34
1658120793,34
1658149259,34
1658163599,34
1658192570,34
1658255570,39
1658255771,39
1658265950,39
1658282790,39
1658284116,39
1658341001,40
1658425295,40
1658438086,40
1658446145,40
1658446771,40
1658459993,40
1658514122,40
1658536177,40
1658552496,40
1658614184,40
1658631640,40
1658698072,40
1658768579,40
1658788810,40
1658856123,40
1658878855,40
1658879061,40
1658965224,40
1659041771,40
1659049567,40
1659055044,40
1659106101,40
1659116089,40
1659126296,40
1659137072,40
1659154611,40
1659160554,40
1659197509,41
1659228141,41
1659229848,41
1659252431,41
1659298084,41
