CODE,STA447H1-S-20229-LEC-0101,STA447H1-S-20229-LEC-2001
CAP,180,15
1656647697,0,0
1656655667,0,0
1656693731,0,0
1656799552,0,0
1657039041,0,0
1657124791,0,0
1657129909,0,0
1657154834,0,0
1657154935,0,0
1657157146,0,0
1657169433,0,0
1657171616,0,0
1657208573,0,0
1657224158,0,0
1657394896,0,0
1657522648,3,2
1657560905,3,2
1657592491,3,2
1657598166,3,2
1657657537,47,2
1657659562,47,2
1657678580,47,2
1657700377,47,2
1657734892,47,1
1657736031,47,1
1657737680,47,1
1657744796,47,1
1657780717,47,1
1657815723,49,4
1657827444,49,4
1657841424,49,4
1657851524,49,4
1657853756,49,4
1657868023,49,4
1657911025,58,4
1657914749,58,4
1657938204,58,4
1657991885,58,4
1658011963,58,4
1658085387,58,4
1658086283,58,4
1658101152,58,4
1658101473,58,4
1658117893,58,4
1658120808,58,4
1658149282,56,4
1658163609,56,4
1658192584,56,4
1658255580,53,4
1658255781,53,4
1658265969,53,4
1658282799,53,4
1658284132,53,4
1658341011,52,4
1658425310,53,4
1658438101,53,4
1658446157,53,4
1658446785,53,4
1658460004,53,4
1658514131,53,3
1658536189,53,3
1658552506,53,3
1658614194,53,3
1658631652,53,3
1658698082,53,3
1658768591,53,3
1658788819,53,3
1658856132,54,3
1658878866,54,3
1658879072,54,3
1658965232,54,3
1659041782,54,3
1659049575,54,3
1659055055,54,3
1659106110,53,3
1659116097,53,3
1659126308,53,3
1659137081,53,3
1659154622,53,3
1659160562,53,3
1659197518,52,3
1659228149,52,3
1659229856,52,3
1659252439,52,3
1659298092,51,3
