CODE,ANT336H1-S-20229-LEC-0101
CAP,60
1656647697,0
1656655667,0
1656693731,0
1656799552,0
1657039041,0
1657124791,0
1657129909,0
1657154834,0
1657154935,0
1657157146,0
1657169433,0
1657171616,0
1657208573,0
1657224158,0
1657394896,0
1657522648,0
1657560905,0
1657592491,0
1657598166,0
1657657537,6
1657659562,6
1657678580,6
1657700377,6
1657734892,6
1657736031,6
1657737680,6
1657744796,6
1657780717,6
1657815723,6
1657827444,6
1657841424,6
1657851524,6
1657853756,6
1657868023,6
1657911025,14
1657914749,14
1657938204,14
1657991885,15
1658011963,15
1658085387,15
1658086283,15
1658101152,15
1658101473,15
1658117893,15
1658120808,15
1658149282,17
1658163609,17
1658192584,17
1658255580,19
1658255781,19
1658265969,19
1658282799,19
1658284132,19
1658341011,20
1658425310,20
1658438101,20
1658446157,20
1658446785,20
1658460004,20
1658514131,20
1658536189,20
1658552506,20
1658614194,20
1658631652,20
1658698082,20
1658768591,20
1658788819,20
1658856132,20
1658878866,20
1658879072,20
1658965232,20
1659041782,20
1659049575,20
1659055055,20
