CODE,ENG378H1-S-20229-LEC-0101,ENG378H1-S-20229-LEC-0201
CAP,45,45
1656647697,0,0
1656655667,0,0
1656693731,0,0
1656799552,0,0
1657039041,0,0
1657124791,0,0
1657129909,0,0
1657154834,0,0
1657154935,0,0
1657157146,0,0
1657169433,0,0
1657171616,0,0
1657208573,0,0
1657224158,0,0
1657394896,0,0
1657522648,0,0
1657560905,0,0
1657592491,0,0
1657598166,0,0
1657657537,7,9
1657659562,7,9
1657678580,7,9
1657700377,7,9
1657734892,7,9
1657736031,7,9
1657737680,7,9
1657744796,7,9
1657780717,7,9
1657815723,7,9
1657827444,7,9
1657841424,7,9
1657851524,7,9
1657853756,7,9
1657868023,7,9
1657911025,14,21
1657914749,14,21
1657938204,14,21
1657991885,14,21
1658011963,14,21
1658085387,14,21
1658086283,14,21
1658101152,14,21
1658101473,14,21
1658117893,14,21
1658120808,14,21
1658149282,14,21
1658163609,14,21
1658192584,14,21
1658255580,15,22
1658255781,15,22
1658265969,15,22
1658282799,15,22
1658284132,15,22
1658341011,15,22
1658425310,15,23
1658438101,15,23
1658446157,15,23
1658446785,15,23
1658460004,15,23
1658514131,15,23
