CODE,IRE472H1-F-20229-LEC-0101
CAP,35
1656647689,0
1656655656,0
1656693722,0
1656799543,0
1657039029,0
1657124783,0
1657129900,0
1657154826,0
1657154927,0
1657157137,0
1657169424,0
1657171604,0
1657208564,0
1657224150,0
1657394888,0
1657522639,0
1657560897,0
1657592482,0
1657598158,0
1657657520,44
1657659549,44
1657678570,44
1657700365,44
1657734871,44
1657736010,44
1657737663,44
1657744779,44
1657780708,44
1657815709,43
1657827433,43
1657841414,43
1657851506,43
1657853745,43
1657868013,43
1657911016,46
1657914736,46
1657938194,46
1657991875,46
1658011950,46
1658085371,45
1658086263,45
1658101142,45
1658101460,45
1658117879,45
1658120793,45
1658149259,45
1658163599,45
1658192570,45
1658255570,45
1658255771,45
1658265950,45
1658282790,45
1658284116,45
1658341001,45
1658425295,45
1658438086,45
1658446145,45
1658446771,45
1658459993,45
1658514122,45
1658536177,45
1658552496,45
1658614184,45
1658631640,45
1658698072,44
1658768579,44
1658788810,44
1658856123,44
1658878855,44
1658879061,44
1658965224,44
1659041771,44
1659049567,44
1659055044,44
