CODE,GGR314H1-S-20229-LEC-5101
CAP,120
1656647697,0
1656655667,0
1656693731,0
1656799552,0
1657039041,0
1657124791,0
1657129909,0
1657154834,0
1657154935,0
1657157146,0
1657169433,0
1657171616,0
1657208573,0
1657224158,0
1657394896,0
1657522648,0
1657560905,0
1657592491,0
1657598166,0
1657657537,7
1657659562,7
1657678580,7
1657700377,7
1657734892,6
1657736031,6
1657737680,6
1657744796,6
1657780717,6
1657815723,6
1657827444,6
1657841424,6
1657851524,6
1657853756,6
1657868023,6
1657911025,31
1657914749,31
1657938204,31
1657991885,32
1658011963,32
1658085387,33
1658086283,33
1658101152,33
1658101473,33
1658117893,33
1658120808,33
1658149282,34
1658163609,34
1658192584,34
1658255580,46
1658255781,46
1658265969,46
1658282799,46
1658284132,46
1658341011,46
1658425310,45
1658438101,45
1658446157,45
1658446785,45
1658460004,45
1658514131,46
