CODE,RLG211H1-S-20229-LEC-0101
CAP,100
1656647697,0
1656655667,0
1656693731,0
1656799552,0
1657039041,0
1657124791,0
1657129909,0
1657154834,0
1657154935,0
1657157146,0
1657169433,0
1657171616,0
1657208573,0
1657224158,0
1657394896,0
1657522648,0
1657560905,0
1657592491,0
1657598166,0
1657657537,7
1657659562,7
1657678580,7
1657700377,7
1657734892,7
1657736031,7
1657737680,7
1657744796,7
1657780717,7
1657815723,9
1657827444,9
1657841424,9
1657851524,9
1657853756,9
1657868023,9
1657911025,18
1657914749,18
1657938204,18
1657991885,18
1658011963,18
1658085387,18
1658086283,18
1658101152,18
1658101473,18
1658117893,18
1658120808,18
1658149282,17
1658163609,17
1658192584,17
1658255580,39
1658255781,39
1658265969,39
1658282799,39
1658284132,39
1658341011,39
1658425310,39
1658438101,39
1658446157,39
1658446785,39
1658460004,39
1658514131,48
