CODE,RSM394H1-S-20229-LEC-0101
CAP,50
1656647697,0
1656655667,0
1656693731,0
1656799552,0
1657039041,0
1657124791,0
1657129909,0
1657154834,0
1657154935,0
1657157146,0
1657169433,0
1657171616,0
1657208573,0
1657224158,0
1657394896,0
1657522648,0
1657560905,0
1657592491,0
1657598166,0
1657657537,35
1657659562,35
1657678580,35
1657700377,35
1657734892,35
1657736031,35
1657737680,35
1657744796,35
1657780717,35
1657815723,35
1657827444,35
1657841424,35
1657851524,35
1657853756,35
1657868023,35
1657911025,55
1657914749,55
1657938204,55
1657991885,55
1658011963,55
1658085387,55
1658086283,55
1658101152,55
1658101473,55
1658117893,55
1658120808,55
1658149282,55
1658163609,55
1658192584,55
1658255580,55
1658255781,55
1658265969,55
1658282799,55
1658284132,55
1658341011,55
1658425310,55
1658438101,55
1658446157,55
1658446785,55
1658460004,55
1658514131,54
