CODE,SOC340H1-S-20229-LEC-0101
CAP,30
1656647697,0
1656655667,0
1656693731,0
1656799552,0
1657039041,0
1657124791,0
1657129909,0
1657154834,0
1657154935,0
1657157146,0
1657169433,0
1657171616,0
1657208573,0
1657224158,0
1657394896,0
1657522648,0
1657560905,0
1657592491,0
1657598166,0
1657657537,5
1657659562,5
1657678580,5
1657700377,5
1657734892,5
1657736031,5
1657737680,5
1657744796,5
1657780717,5
1657815723,6
1657827444,6
1657841424,6
1657851524,6
1657853756,6
1657868023,6
1657911025,30
1657914749,30
1657938204,30
1657991885,26
1658011963,26
1658085387,26
1658086283,26
1658101152,26
1658101473,26
1658117893,26
1658120808,26
1658149282,26
1658163609,26
1658192584,26
1658255580,26
1658255781,26
1658265969,26
1658282799,26
1658284132,26
1658341011,27
1658425310,26
1658438101,26
1658446157,26
1658446785,26
1658460004,26
1658514131,27
