CODE,MST212H1-S-20229-LEC-0101
CAP,40
1656647697,0
1656655667,0
1656693731,0
1656799552,0
1657039041,0
1657124791,0
1657129909,0
1657154834,0
1657154935,0
1657157146,0
1657169433,0
1657171616,0
1657208573,0
1657224158,0
1657394896,0
1657522648,0
1657560905,0
1657592491,0
1657598166,0
1657657537,3
1657659562,3
1657678580,3
1657700377,3
1657734892,3
1657736031,3
1657737680,3
1657744796,3
1657780717,3
1657815723,3
1657827444,3
1657841424,3
1657851524,3
1657853756,3
1657868023,3
1657911025,4
1657914749,4
1657938204,4
1657991885,3
1658011963,3
1658085387,3
1658086283,3
1658101152,3
1658101473,3
1658117893,3
1658120808,3
1658149282,3
1658163609,3
1658192584,3
1658255580,12
1658255781,12
1658265969,12
1658282799,12
1658284132,12
1658341011,12
1658425310,12
1658438101,12
1658446157,12
1658446785,12
1658460004,12
1658514131,12
1658536189,12
1658552506,12
1658614194,13
1658631652,13
1658698082,13
1658768591,14
1658788819,14
1658856132,14
1658878866,14
1658879072,14
1658965232,14
1659041782,14
1659049575,14
1659055055,14
