CODE,STA347H1-F-20229-LEC-0101,STA347H1-F-20229-LEC-0201,STA347H1-F-20229-LEC-2001
CAP,180,210,30
1656647689,0,0,0
1656655656,0,0,0
1656693722,0,0,0
1656799543,0,0,0
1657039029,0,0,0
1657124783,0,0,0
1657129900,0,0,0
1657154826,0,0,0
1657154927,0,0,0
1657157137,0,0,0
1657169424,0,0,0
1657171604,0,0,0
1657208564,0,0,0
1657224150,0,0,0
1657394888,0,0,0
1657522639,14,25,22
1657560897,14,25,22
1657592482,14,25,22
1657598158,14,25,22
1657657520,52,61,22
1657659549,52,61,22
1657678570,52,61,22
1657700365,52,61,22
1657734871,53,62,22
1657736010,53,62,22
1657737663,53,62,22
1657744779,53,62,22
1657780708,53,62,22
1657815709,53,68,22
1657827433,53,68,22
1657841414,53,68,22
1657851506,53,68,22
1657853745,53,68,22
1657868013,53,68,22
1657911016,134,103,22
1657914736,134,103,22
1657938194,134,103,22
1657991875,134,104,22
1658011950,134,104,22
1658085371,135,106,22
1658086263,135,106,22
1658101142,135,106,22
1658101460,135,106,22
1658117879,135,106,22
1658120793,135,106,22
1658149259,137,104,22
1658163599,137,104,22
1658192570,137,104,22
1658255570,146,110,22
1658255771,146,110,22
1658265950,146,110,22
1658282790,146,110,22
1658284116,146,110,22
1658341001,146,112,22
1658425295,144,106,22
1658438086,144,106,22
1658446145,144,106,22
1658446771,144,106,22
1658459993,144,106,22
1658514122,145,106,22
1658536177,145,106,22
1658552496,145,106,22
1658614184,145,106,22
1658631640,145,106,22
1658698072,144,107,22
1658768579,143,108,22
1658788810,143,108,22
1658856123,143,107,22
1658878855,143,107,22
1658879061,143,107,22
1658965224,146,107,22
1659041771,146,108,22
1659049567,146,108,22
1659055044,146,108,22
1659106101,145,107,22
1659116089,145,107,22
1659126296,145,107,22
1659137072,145,107,22
1659154611,145,107,22
1659160554,145,107,22
1659197509,149,117,22
1659228141,149,117,22
1659229848,149,117,22
1659252431,149,117,22
1659298084,149,118,22
