CODE,PSY332H1-F-20229-LEC-0101,PSY332H1-F-20229-LEC-0201
CAP,50,50
1656647689,0,0
1656655656,0,0
1656693722,0,0
1656799543,0,0
1657039029,0,0
1657124783,0,0
1657129900,0,0
1657154826,0,0
1657154927,0,0
1657157137,0,0
1657169424,0,0
1657171604,0,0
1657208564,0,0
1657224150,0,0
1657394888,0,0
1657522639,2,0
1657560897,2,0
1657592482,2,0
1657598158,2,0
1657657520,20,19
1657659549,20,19
1657678570,20,19
1657700365,20,19
1657734871,19,19
1657736010,19,19
1657737663,19,19
1657744779,19,19
1657780708,19,19
1657815709,18,19
1657827433,18,19
1657841414,18,19
1657851506,18,19
1657853745,18,19
1657868013,18,19
1657911016,46,44
1657914736,46,44
1657938194,46,44
1657991875,46,45
1658011950,46,45
1658085371,48,46
1658086263,48,46
1658101142,48,46
1658101460,48,46
1658117879,48,46
1658120793,48,46
1658149259,50,45
1658163599,50,45
1658192570,50,45
1658255570,50,50
1658255771,50,50
1658265950,50,50
1658282790,50,50
1658284116,50,50
1658341001,50,50
1658425295,50,50
1658438086,50,50
1658446145,50,50
1658446771,50,50
1658459993,50,50
1658514122,51,51
