CODE,EAS274H1-S-20229-LEC-0101
CAP,80
1656647697,0
1656655667,0
1656693731,0
1656799552,0
1657039041,0
1657124791,0
1657129909,0
1657154834,0
1657154935,0
1657157146,0
1657169433,0
1657171616,0
1657208573,0
1657224158,0
1657394896,0
1657522648,0
1657560905,0
1657592491,0
1657598166,0
1657657537,18
1657659562,18
1657678580,18
1657700377,18
1657734892,19
1657736031,19
1657737680,19
1657744796,19
1657780717,19
1657815723,19
1657827444,19
1657841424,19
1657851524,19
1657853756,19
1657868023,19
1657911025,36
1657914749,36
1657938204,36
1657991885,36
1658011963,36
1658085387,36
1658086283,36
1658101152,36
1658101473,36
1658117893,36
1658120808,36
1658149282,37
1658163609,37
1658192584,37
1658255580,81
1658255781,81
1658265969,81
1658282799,81
1658284132,81
1658341011,85
1658425310,86
1658438101,86
1658446157,86
1658446785,86
1658460004,86
1658514131,88
1658536189,88
1658552506,88
1658614194,87
1658631652,87
1658698082,88
1658768591,88
1658788819,88
1658856132,89
1658878866,89
1658879072,89
1658965232,89
1659041782,87
1659049575,87
1659055055,87
1659106110,86
1659116097,86
1659126308,86
1659137081,86
1659154622,86
1659160562,86
1659197518,142
1659228149,142
1659229856,142
1659252439,142
1659298092,143
