CODE,CJS200H1-S-20229-LEC-0101
CAP,50
1656647697,0
1656655667,0
1656693731,0
1656799552,0
1657039041,0
1657124791,0
1657129909,0
1657154834,0
1657154935,0
1657157146,0
1657169433,0
1657171616,0
1657208573,0
1657224158,0
1657394896,0
1657522648,0
1657560905,0
1657592491,0
1657598166,0
1657657537,2
1657659562,2
1657678580,2
1657700377,2
1657734892,2
1657736031,2
1657737680,2
1657744796,2
1657780717,2
1657815723,2
1657827444,2
1657841424,2
1657851524,2
1657853756,2
1657868023,2
1657911025,6
1657914749,6
1657938204,6
1657991885,6
1658011963,6
1658085387,6
1658086283,6
1658101152,6
1658101473,6
1658117893,6
1658120808,6
1658149282,6
1658163609,6
1658192584,6
1658255580,20
1658255781,20
1658265969,20
1658282799,20
1658284132,20
1658341011,20
1658425310,20
1658438101,20
1658446157,20
1658446785,20
1658460004,20
1658514131,26
1658536189,26
1658552506,26
1658614194,25
1658631652,25
1658698082,25
1658768591,25
1658788819,25
1658856132,25
1658878866,25
1658879072,25
1658965232,25
1659041782,24
1659049575,24
1659055055,24
1659106110,24
1659116097,24
1659126308,24
1659137081,24
1659154622,24
1659160562,24
1659197518,26
1659228149,26
1659229856,26
1659252439,26
1659298092,26
