CODE,GGR458H1-S-20229-LEC-0101
CAP,30
1656647697,0
1656655667,0
1656693731,0
1656799552,0
1657039041,0
1657124791,0
1657129909,0
1657154834,0
1657154935,0
1657157146,0
1657169433,0
1657171616,0
1657208573,0
1657224158,0
1657394896,0
1657522648,0
1657560905,0
1657592491,0
1657598166,0
1657657537,6
1657659562,6
1657678580,6
1657700377,6
1657734892,7
1657736031,7
1657737680,7
1657744796,7
1657780717,7
1657815723,7
1657827444,7
1657841424,7
1657851524,7
1657853756,7
1657868023,7
1657911025,8
1657914749,8
1657938204,8
1657991885,9
1658011963,9
1658085387,9
1658086283,9
1658101152,9
1658101473,9
1658117893,9
1658120808,9
1658149282,9
1658163609,9
1658192584,9
1658255580,9
1658255781,9
1658265969,9
1658282799,9
1658284132,9
1658341011,9
1658425310,9
1658438101,9
1658446157,9
1658446785,9
1658460004,9
1658514131,9
