CODE,CLA383H1-S-20229-LEC-0101
CAP,30
1656647697,0
1656655667,0
1656693731,0
1656799552,0
1657039041,0
1657124791,0
1657129909,0
1657154834,0
1657154935,0
1657157146,0
1657169433,0
1657171616,0
1657208573,0
1657224158,0
1657394896,0
1657522648,0
1657560905,0
1657592491,0
1657598166,0
1657657537,4
1657659562,4
1657678580,4
1657700377,4
1657734892,5
1657736031,5
1657737680,5
1657744796,5
1657780717,5
1657815723,5
1657827444,5
1657841424,5
1657851524,5
1657853756,5
1657868023,5
1657911025,12
1657914749,12
1657938204,12
1657991885,12
1658011963,12
1658085387,13
1658086283,13
1658101152,13
1658101473,13
1658117893,13
1658120808,13
1658149282,13
1658163609,13
1658192584,13
1658255580,15
1658255781,15
1658265969,15
1658282799,15
1658284132,15
1658341011,16
1658425310,16
1658438101,16
1658446157,16
1658446785,16
1658460004,16
1658514131,18
1658536189,18
1658552506,18
1658614194,19
1658631652,19
1658698082,19
1658768591,19
1658788819,19
1658856132,19
1658878866,19
1658879072,19
1658965232,20
1659041782,20
1659049575,20
1659055055,20
1659106110,20
1659116097,20
1659126308,20
1659137081,20
1659154622,20
1659160562,20
1659197518,19
1659228149,19
1659229856,19
1659252439,19
1659298092,19
