CODE,ENG374H1-F-20229-LEC-0101,ENG374H1-F-20229-LEC-0201
CAP,45,45
1656647689,0,0
1656655656,0,0
1656693722,0,0
1656799543,0,0
1657039029,0,0
1657124783,0,0
1657129900,0,0
1657154826,0,0
1657154927,0,0
1657157137,0,0
1657169424,0,0
1657171604,0,0
1657208564,0,0
1657224150,0,0
1657394888,0,0
1657522639,0,0
1657560897,0,0
1657592482,0,0
1657598158,0,0
1657657520,6,4
1657659549,6,4
1657678570,6,4
1657700365,6,4
1657734871,6,5
1657736010,6,5
1657737663,6,5
1657744779,6,5
1657780708,6,5
1657815709,6,5
1657827433,6,5
1657841414,6,5
1657851506,6,5
1657853745,6,5
1657868013,6,5
1657911016,11,8
1657914736,11,8
1657938194,11,8
1657991875,11,8
1658011950,11,8
1658085371,11,8
1658086263,11,8
1658101142,11,8
1658101460,11,8
1658117879,11,8
1658120793,11,8
1658149259,11,8
1658163599,11,8
1658192570,11,8
1658255570,11,9
1658255771,11,9
1658265950,11,9
1658282790,11,9
1658284116,11,9
1658341001,11,9
1658425295,11,9
1658438086,11,9
1658446145,11,9
1658446771,11,9
1658459993,11,9
1658514122,11,9
1658536177,11,9
1658552496,11,9
1658614184,11,9
1658631640,11,9
1658698072,11,9
1658768579,11,9
1658788810,11,9
1658856123,11,9
1658878855,11,9
1658879061,11,9
1658965224,12,9
1659041771,12,9
1659049567,12,9
1659055044,12,9
1659106101,12,9
1659116089,12,9
1659126296,12,9
1659137072,12,9
1659154611,12,9
1659160554,12,9
1659197509,12,10
1659228141,12,10
1659229848,12,10
1659252431,12,10
1659298084,12,10
