CODE,RSM270H1-S-20229-LEC-0101,RSM270H1-S-20229-LEC-0201,RSM270H1-S-20229-LEC-0301,RSM270H1-S-20229-LEC-0401,RSM270H1-S-20229-LEC-0501,RSM270H1-S-20229-LEC-5101
CAP,80,80,80,80,80,80
1656647697,0,0,0,0,0,0
1656655667,0,0,0,0,0,0
1656693731,0,0,0,0,0,0
1656799552,0,0,0,0,0,0
1657039041,0,0,0,0,0,0
1657124791,0,0,0,0,0,0
1657129909,0,0,0,0,0,0
1657154834,0,0,0,0,0,0
1657154935,0,0,0,0,0,0
1657157146,0,0,0,0,0,0
1657169433,0,0,0,0,0,0
1657171616,0,0,0,0,0,0
1657208573,0,0,0,0,0,0
1657224158,0,0,0,0,0,0
1657394896,0,0,0,0,0,0
1657522648,3,1,0,0,0,0
1657560905,3,1,0,0,0,0
1657592491,3,1,0,0,0,0
1657598166,3,1,0,0,0,0
1657657537,4,2,0,1,1,0
1657659562,4,2,0,1,1,0
1657678580,4,2,0,1,1,0
1657700377,4,2,0,1,1,0
1657734892,4,2,0,1,1,0
1657736031,4,2,0,1,1,0
1657737680,4,2,0,1,1,0
1657744796,4,2,0,1,1,0
1657780717,4,2,0,1,1,0
1657815723,4,2,0,1,1,0
1657827444,4,2,0,1,1,0
1657841424,4,2,0,1,1,0
1657851524,4,2,0,1,1,0
1657853756,4,2,0,1,1,0
1657868023,4,2,0,1,1,0
1657911025,6,6,0,10,3,3
1657914749,6,6,0,10,3,3
1657938204,6,6,0,10,3,3
1657991885,6,7,0,10,3,3
1658011963,6,7,0,10,3,3
1658085387,6,7,0,10,3,3
1658086283,6,7,0,10,3,3
1658101152,6,7,0,10,3,3
1658101473,6,7,0,10,3,3
1658117893,6,7,0,10,3,3
1658120808,6,7,0,10,3,3
1658149282,6,7,0,10,3,3
1658163609,6,7,0,10,3,3
1658192584,6,7,0,10,3,3
1658255580,40,84,88,98,48,17
1658255781,40,84,88,98,48,17
1658265969,40,84,88,98,48,17
1658282799,40,84,88,98,48,17
1658284132,40,84,88,98,48,17
1658341011,40,85,87,98,48,17
1658425310,40,88,90,99,49,17
1658438101,40,88,90,99,49,17
1658446157,40,88,90,99,49,17
1658446785,40,88,90,99,49,17
1658460004,40,88,90,99,49,17
1658514131,41,86,90,99,50,16
