CODE,CHM379H1-S-20229-LEC-0101
CAP,22
1656647697,0
1656655667,0
1656693731,0
1656799552,0
1657039041,0
1657124791,0
1657129909,0
1657154834,0
1657154935,0
1657157146,0
1657169433,0
1657171616,0
1657208573,0
1657224158,0
1657394896,0
1657522648,0
1657560905,0
1657592491,0
1657598166,0
1657657537,6
1657659562,6
1657678580,6
1657700377,6
1657734892,6
1657736031,6
1657737680,6
1657744796,6
1657780717,6
1657815723,6
1657827444,6
1657841424,6
1657851524,6
1657853756,6
1657868023,6
1657911025,17
1657914749,17
1657938204,17
1657991885,19
1658011963,19
1658085387,19
1658086283,19
1658101152,19
1658101473,19
1658117893,19
1658120808,19
1658149282,19
1658163609,19
1658192584,19
1658255580,19
1658255781,19
1658265969,19
1658282799,19
1658284132,19
1658341011,19
1658425310,19
1658438101,19
1658446157,19
1658446785,19
1658460004,19
1658514131,19
