CODE,POL101H1-S-20229-LEC-0101
CAP,500
1656647697,0
1656655667,0
1656693731,0
1656799552,0
1657039041,0
1657124791,0
1657129909,0
1657154834,0
1657154935,0
1657157146,0
1657169433,0
1657171616,0
1657208573,0
1657224158,0
1657394896,0
1657522648,2
1657560905,2
1657592491,2
1657598166,2
1657657537,10
1657659562,10
1657678580,10
1657700377,10
1657734892,10
1657736031,10
1657737680,10
1657744796,10
1657780717,10
1657815723,10
1657827444,10
1657841424,10
1657851524,10
1657853756,10
1657868023,10
1657911025,13
1657914749,13
1657938204,13
1657991885,13
1658011963,13
1658085387,14
1658086283,14
1658101152,14
1658101473,14
1658117893,14
1658120808,14
1658149282,14
1658163609,14
1658192584,14
1658255580,27
1658255781,27
1658265969,27
1658282799,27
1658284132,27
1658341011,29
1658425310,30
1658438101,30
1658446157,30
1658446785,30
1658460004,30
1658514131,422
1658536189,422
1658552506,422
1658614194,427
1658631652,427
1658698082,433
1658768591,437
1658788819,437
1658856132,441
1658878866,441
1658879072,441
