CODE,PHY489H1-F-20229-LEC-0101,PHY489H1-F-20229-LEC-2001
CAP,50,10
1656647689,0,0
1656655656,0,0
1656693722,0,0
1656799543,0,0
1657039029,0,0
1657124783,0,0
1657129900,0,0
1657154826,0,0
1657154927,0,0
1657157137,0,0
1657169424,0,0
1657171604,0,0
1657208564,0,0
1657224150,0,0
1657394888,0,0
1657522639,9,2
1657560897,9,2
1657592482,9,2
1657598158,9,2
1657657520,27,3
1657659549,27,3
1657678570,27,3
1657700365,27,3
1657734871,27,3
1657736010,27,3
1657737663,27,3
1657744779,27,3
1657780708,27,3
1657815709,28,3
1657827433,28,3
1657841414,28,3
1657851506,28,3
1657853745,28,3
1657868013,28,3
1657911016,30,3
1657914736,30,3
1657938194,30,3
1657991875,30,3
1658011950,30,3
1658085371,30,3
1658086263,30,3
1658101142,30,3
1658101460,30,3
1658117879,30,3
1658120793,30,3
1658149259,30,3
1658163599,30,3
1658192570,30,3
1658255570,30,3
1658255771,30,3
1658265950,30,3
1658282790,30,3
1658284116,30,3
1658341001,30,3
1658425295,30,3
1658438086,30,3
1658446145,30,3
1658446771,30,3
1658459993,30,3
1658514122,32,3
1658536177,32,3
1658552496,32,3
1658614184,32,3
1658631640,32,3
1658698072,32,3
1658768579,32,3
1658788810,32,3
1658856123,32,3
1658878855,32,3
1658879061,32,3
1658965224,32,3
1659041771,32,3
1659049567,32,3
1659055044,32,3
1659106101,32,3
1659116089,32,3
1659126296,32,3
1659137072,32,3
1659154611,32,3
1659160554,32,3
1659197509,33,3
1659228141,33,3
1659229848,33,3
1659252431,33,3
1659298084,32,3
