CODE,POL418H1-S-20229-LEC-5101
CAP,25
1656647697,0
1656655667,0
1656693731,0
1656799552,0
1657039041,0
1657124791,0
1657129909,0
1657154834,0
1657154935,0
1657157146,0
1657169433,0
1657171616,0
1657208573,0
1657224158,0
1657394896,0
1657522648,9
1657560905,9
1657592491,9
1657598166,9
1657657537,19
1657659562,19
1657678580,19
1657700377,19
1657734892,19
1657736031,19
1657737680,19
1657744796,19
1657780717,19
1657815723,19
1657827444,19
1657841424,19
1657851524,19
1657853756,19
1657868023,19
1657911025,18
1657914749,18
1657938204,18
1657991885,19
1658011963,19
1658085387,19
1658086283,19
1658101152,19
1658101473,19
1658117893,19
1658120808,19
1658149282,19
1658163609,19
1658192584,19
1658255580,19
1658255781,19
1658265969,19
1658282799,19
1658284132,19
1658341011,19
1658425310,19
1658438101,19
1658446157,19
1658446785,19
1658460004,19
1658514131,19
1658536189,19
1658552506,19
1658614194,19
1658631652,19
1658698082,19
1658768591,19
1658788819,19
1658856132,19
1658878866,19
1658879072,19
1658965232,19
1659041782,20
1659049575,20
1659055055,20
