CODE,ECO435H1-F-20229-LEC-0101
CAP,30
1656647689,0
1656655656,0
1656693722,0
1656799543,0
1657039029,0
1657124783,0
1657129900,0
1657154826,0
1657154927,0
1657157137,0
1657169424,0
1657171604,0
1657208564,0
1657224150,0
1657394888,0
1657522639,16
1657560897,15
1657592482,15
1657598158,15
1657657520,42
1657659549,42
1657678570,42
1657700365,42
1657734871,43
1657736010,43
1657737663,43
1657744779,43
1657780708,43
1657815709,43
1657827433,43
1657841414,43
1657851506,43
1657853745,43
1657868013,43
1657911016,44
1657914736,44
1657938194,44
1657991875,45
1658011950,45
1658085371,45
1658086263,45
1658101142,45
1658101460,45
1658117879,45
1658120793,45
1658149259,45
1658163599,45
1658192570,45
1658255570,45
1658255771,45
1658265950,45
1658282790,45
1658284116,45
1658341001,46
1658425295,46
1658438086,46
1658446145,46
1658446771,46
1658459993,46
1658514122,46
1658536177,46
1658552496,46
1658614184,46
1658631640,46
1658698072,46
1658768579,46
1658788810,46
1658856123,46
1658878855,46
1658879061,46
1658965224,47
1659041771,47
1659049567,47
1659055044,47
1659106101,47
1659116089,47
1659126296,47
1659137072,47
1659154611,47
1659160554,47
1659197509,47
1659228141,47
1659229848,47
1659252431,47
1659298084,47
