CODE,MST359H1-F-20229-LEC-5101
CAP,15
1656647689,0
1656655656,0
1656693722,0
1656799543,0
1657039029,0
1657124783,0
1657129900,0
1657154826,0
1657154927,0
1657157137,0
1657169424,0
1657171604,0
1657208564,0
1657224150,0
1657394888,0
1657522639,0
1657560897,0
1657592482,0
1657598158,0
1657657520,4
1657659549,4
1657678570,4
1657700365,4
1657734871,4
1657736010,4
1657737663,4
1657744779,4
1657780708,4
1657815709,4
1657827433,4
1657841414,4
1657851506,4
1657853745,4
1657868013,4
1657911016,7
1657914736,7
1657938194,7
1657991875,7
1658011950,7
1658085371,7
1658086263,7
1658101142,7
1658101460,7
1658117879,7
1658120793,7
1658149259,7
1658163599,7
1658192570,7
1658255570,12
1658255771,12
1658265950,12
1658282790,12
1658284116,12
1658341001,12
1658425295,12
1658438086,12
1658446145,12
1658446771,12
1658459993,12
1658514122,14
1658536177,14
1658552496,14
1658614184,14
1658631640,14
1658698072,14
1658768579,14
1658788810,14
1658856123,14
1658878855,14
1658879061,14
1658965224,14
1659041771,14
1659049567,14
1659055044,14
