CODE,PHL410H1-S-20229-LEC-0101
CAP,20
1656647697,0
1656655667,0
1656693731,0
1656799552,0
1657039041,0
1657124791,0
1657129909,0
1657154834,0
1657154935,0
1657157146,0
1657169433,0
1657171616,0
1657208573,0
1657224158,0
1657394896,0
1657522648,0
1657560905,0
1657592491,0
1657598166,0
1657657537,26
1657659562,26
1657678580,26
1657700377,26
1657734892,28
1657736031,28
1657737680,28
1657744796,28
1657780717,28
1657815723,28
1657827444,28
1657841424,28
1657851524,28
1657853756,28
1657868023,28
1657911025,30
1657914749,30
1657938204,30
1657991885,30
1658011963,30
1658085387,30
1658086283,30
1658101152,30
1658101473,30
1658117893,30
1658120808,30
1658149282,30
1658163609,30
1658192584,30
1658255580,29
1658255781,29
1658265969,29
1658282799,29
1658284132,29
1658341011,29
1658425310,30
1658438101,30
1658446157,30
1658446785,30
1658460004,30
1658514131,30
