CODE,STA457H1-S-20229-LEC-0101,STA457H1-S-20229-LEC-0201,STA457H1-S-20229-LEC-2001
CAP,210,190,5
1656647697,0,0,0
1656655667,0,0,0
1656693731,0,0,0
1656799552,0,0,0
1657039041,0,0,0
1657124791,0,0,0
1657129909,0,0,0
1657154834,0,0,0
1657154935,0,0,0
1657157146,0,0,0
1657169433,0,0,0
1657171616,0,0,0
1657208573,0,0,0
1657224158,0,0,0
1657394896,0,0,0
1657522648,14,38,3
1657560905,14,38,3
1657592491,14,38,3
1657598166,14,38,3
1657657537,77,106,3
1657659562,77,106,3
1657678580,77,106,3
1657700377,77,106,3
1657734892,78,105,3
1657736031,78,105,3
1657737680,78,105,3
1657744796,78,105,3
1657780717,78,105,3
1657815723,80,106,6
1657827444,80,106,6
1657841424,80,106,6
1657851524,80,106,6
1657853756,80,106,6
1657868023,80,106,6
1657911025,144,173,6
1657914749,144,173,6
1657938204,144,173,6
1657991885,145,175,6
1658011963,145,175,6
1658085387,145,177,6
1658086283,145,177,6
1658101152,145,177,6
1658101473,145,177,6
1658117893,145,177,6
1658120808,145,177,6
1658149282,147,178,6
1658163609,147,178,6
1658192584,147,178,6
1658255580,154,180,6
1658255781,154,180,6
1658265969,154,180,6
1658282799,154,180,6
1658284132,154,180,6
1658341011,156,180,6
1658425310,157,179,6
1658438101,157,179,6
1658446157,157,179,6
1658446785,157,179,6
1658460004,157,179,6
1658514131,157,177,6
1658536189,157,177,6
1658552506,157,177,6
1658614194,159,178,6
1658631652,159,178,6
1658698082,160,178,6
1658768591,160,178,6
1658788819,160,178,6
1658856132,160,178,6
1658878866,160,178,6
1658879072,160,178,6
1658965232,160,178,6
1659041782,165,179,6
1659049575,165,179,6
1659055055,165,179,6
1659106110,165,177,6
1659116097,165,177,6
1659126308,165,177,6
1659137081,165,177,6
1659154622,165,177,6
1659160562,165,177,6
1659197518,161,182,6
1659228149,161,182,6
1659229856,161,182,6
1659252439,161,182,6
1659298092,163,183,6
