CODE,CHM136H1-S-20229-LEC-0101,CHM136H1-S-20229-LEC-0201,CHM136H1-S-20229-LEC-0301,CHM136H1-S-20229-LEC-5101
CAP,500,500,500,300
1656647697,0,0,0,0
1656655667,0,0,0,0
1656693731,0,0,0,0
1656799552,0,0,0,0
1657039041,0,0,0,0
1657124791,0,0,0,0
1657129909,0,0,0,0
1657154834,0,0,0,0
1657154935,0,0,0,0
1657157146,0,0,0,0
1657169433,0,0,0,0
1657171616,0,0,0,0
1657208573,0,0,0,0
1657224158,0,0,0,0
1657394896,0,0,0,0
1657522648,1,0,0,0
1657560905,1,0,0,0
1657592491,1,0,0,0
1657598166,1,0,0,0
1657657537,1,0,0,0
1657659562,1,0,0,0
1657678580,1,0,0,0
1657700377,1,0,0,0
1657734892,1,0,0,0
1657736031,1,0,0,0
1657737680,1,0,0,0
1657744796,1,0,0,0
1657780717,1,0,0,0
1657815723,1,0,0,0
1657827444,1,0,0,0
1657841424,1,0,0,0
1657851524,1,0,0,0
1657853756,1,0,0,0
1657868023,1,0,0,0
1657911025,2,1,0,2
1657914749,2,1,0,2
1657938204,2,1,0,2
1657991885,2,1,0,2
1658011963,2,1,0,2
1658085387,2,1,0,2
1658086283,2,1,0,2
1658101152,2,1,0,2
1658101473,2,1,0,2
1658117893,2,1,0,2
1658120808,2,1,0,2
1658149282,2,1,1,2
1658163609,2,1,1,2
1658192584,2,1,1,2
1658255580,23,6,299,12
1658255781,23,6,299,12
1658265969,23,6,299,12
1658282799,23,6,299,12
1658284132,23,6,299,12
1658341011,23,7,291,12
1658425310,27,8,282,12
1658438101,27,8,282,12
1658446157,27,8,282,12
1658446785,27,8,282,12
1658460004,27,8,282,12
1658514131,543,519,543,143
1658536189,543,519,543,143
1658552506,543,519,543,143
1658614194,546,523,545,157
1658631652,546,523,545,157
1658698082,547,525,546,160
1658768591,548,526,547,164
1658788819,548,526,547,164
1658856132,549,527,548,170
1658878866,549,527,548,170
1658879072,549,527,548,170
1658965232,550,529,549,170
1659041782,550,528,551,178
1659049575,550,528,551,178
1659055055,550,528,551,178
1659106110,550,529,551,178
1659116097,550,529,551,178
1659126308,550,529,551,178
1659137081,550,529,551,178
1659154622,550,529,551,178
1659160562,550,529,551,178
1659197518,593,589,595,350
1659228149,593,589,595,350
1659229856,593,589,595,350
1659252439,593,589,595,350
1659298092,594,594,597,353
