CODE,ECO375H1-F-20229-LEC-0101,ECO375H1-F-20229-LEC-0201
CAP,80,80
1656647689,0,0
1656655656,0,0
1656693722,0,0
1656799543,0,0
1657039029,0,0
1657124783,0,0
1657129900,0,0
1657154826,0,0
1657154927,0,0
1657157137,0,0
1657169424,0,0
1657171604,0,0
1657208564,0,0
1657224150,0,0
1657394888,0,0
1657522639,2,5
1657560897,2,5
1657592482,2,5
1657598158,2,5
1657657520,24,33
1657659549,24,33
1657678570,24,33
1657700365,24,33
1657734871,24,35
1657736010,24,35
1657737663,24,35
1657744779,24,35
1657780708,24,35
1657815709,25,35
1657827433,25,35
1657841414,25,35
1657851506,25,35
1657853745,25,35
1657868013,25,35
1657911016,80,84
1657914736,80,84
1657938194,80,84
1657991875,82,84
1658011950,82,84
1658085371,82,84
1658086263,82,84
1658101142,82,84
1658101460,82,84
1658117879,82,84
1658120793,82,84
1658149259,83,84
1658163599,83,84
1658192570,83,84
1658255570,84,84
1658255771,84,84
1658265950,84,84
1658282790,84,84
1658284116,84,84
1658341001,84,85
1658425295,85,85
1658438086,85,85
1658446145,85,85
1658446771,85,85
1658459993,85,85
1658514122,86,85
