CODE,GGR372H1-S-20229-LEC-5101
CAP,45
1656647697,0
1656655667,0
1656693731,0
1656799552,0
1657039041,0
1657124791,0
1657129909,0
1657154834,0
1657154935,0
1657157146,0
1657169433,0
1657171616,0
1657208573,0
1657224158,0
1657394896,0
1657522648,0
1657560905,0
1657592491,0
1657598166,0
1657657537,13
1657659562,13
1657678580,13
1657700377,13
1657734892,14
1657736031,14
1657737680,14
1657744796,14
1657780717,14
1657815723,14
1657827444,14
1657841424,14
1657851524,14
1657853756,14
1657868023,14
1657911025,37
1657914749,37
1657938204,37
1657991885,37
1658011963,37
1658085387,37
1658086283,37
1658101152,37
1658101473,37
1658117893,37
1658120808,37
1658149282,38
1658163609,38
1658192584,38
1658255580,41
1658255781,41
1658265969,41
1658282799,41
1658284132,41
1658341011,40
1658425310,41
1658438101,41
1658446157,41
1658446785,41
1658460004,41
1658514131,41
1658536189,41
1658552506,41
1658614194,41
1658631652,41
1658698082,41
1658768591,41
1658788819,41
1658856132,41
1658878866,41
1658879072,41
1658965232,41
1659041782,44
1659049575,44
1659055055,44
