CODE,LAT102H1-S-20229-LEC-0101,LAT102H1-S-20229-LEC-0201,LAT102H1-S-20229-LEC-0301
CAP,35,35,35
1656647697,0,0,0
1656655667,0,0,0
1656693731,0,0,0
1656799552,0,0,0
1657039041,0,0,0
1657124791,0,0,0
1657129909,0,0,0
1657154834,0,0,0
1657154935,0,0,0
1657157146,0,0,0
1657169433,0,0,0
1657171616,0,0,0
1657208573,0,0,0
1657224158,0,0,0
1657394896,0,0,0
1657522648,0,0,0
1657560905,0,0,0
1657592491,0,0,0
1657598166,0,0,0
1657657537,1,3,1
1657659562,1,3,1
1657678580,1,3,1
1657700377,1,3,1
1657734892,2,3,1
1657736031,2,3,1
1657737680,2,3,1
1657744796,2,3,1
1657780717,2,3,1
1657815723,2,3,1
1657827444,2,3,1
1657841424,2,3,1
1657851524,2,3,1
1657853756,2,3,1
1657868023,2,3,1
1657911025,4,4,1
1657914749,4,4,1
1657938204,4,4,1
1657991885,5,5,1
1658011963,5,5,1
1658085387,5,5,1
1658086283,5,5,1
1658101152,5,5,1
1658101473,5,5,1
1658117893,5,5,1
1658120808,5,5,1
1658149282,5,5,1
1658163609,5,5,1
1658192584,5,5,1
1658255580,11,7,4
1658255781,11,7,4
1658265969,11,7,4
1658282799,11,7,4
1658284132,11,7,4
1658341011,11,7,4
1658425310,11,7,4
1658438101,11,7,4
1658446157,11,7,4
1658446785,11,7,4
1658460004,11,7,4
1658514131,19,17,6
