CODE,MAT482H1-S-20229-LEC-0101
CAP,30
1656647697,0
1656655667,0
1656693731,0
1656799552,0
1657039041,0
1657124791,0
1657129909,0
1657154834,0
1657154935,0
1657157146,0
1657169433,0
1657171616,0
1657208573,0
1657224158,0
1657394896,0
1657522648,0
1657560905,0
1657592491,0
1657598166,0
1657657537,1
1657659562,1
1657678580,1
1657700377,1
1657734892,1
1657736031,1
1657737680,1
1657744796,1
1657780717,1
1657815723,1
1657827444,1
1657841424,1
1657851524,1
1657853756,1
1657868023,1
1657911025,1
1657914749,1
1657938204,1
1657991885,1
1658011963,1
1658085387,1
1658086283,1
1658101152,1
1658101473,1
1658117893,1
1658120808,1
1658149282,1
1658163609,1
1658192584,1
1658255580,1
1658255781,1
1658265969,1
1658282799,1
1658284132,1
1658341011,1
1658425310,1
1658438101,1
1658446157,1
1658446785,1
1658460004,1
1658514131,1
1658536189,1
1658552506,1
1658614194,1
1658631652,1
1658698082,1
1658768591,1
1658788819,1
1658856132,1
1658878866,1
1658879072,1
1658965232,1
1659041782,1
1659049575,1
1659055055,1
1659106110,1
1659116097,1
1659126308,1
1659137081,1
1659154622,1
1659160562,1
1659197518,1
1659228149,1
1659229856,1
1659252439,1
1659298092,1
