CODE,CLA402H1-F-20229-LEC-5101
CAP,40
1656647689,0
1656655656,0
1656693722,0
1656799543,0
1657039029,0
1657124783,0
1657129900,0
1657154826,0
1657154927,0
1657157137,0
1657169424,0
1657171604,0
1657208564,0
1657224150,0
1657394888,0
1657522639,0
1657560897,0
1657592482,0
1657598158,0
1657657520,13
1657659549,13
1657678570,13
1657700365,13
1657734871,13
1657736010,13
1657737663,13
1657744779,13
1657780708,13
1657815709,13
1657827433,13
1657841414,13
1657851506,13
1657853745,13
1657868013,13
1657911016,14
1657914736,14
1657938194,14
1657991875,14
1658011950,14
1658085371,16
1658086263,16
1658101142,16
1658101460,16
1658117879,16
1658120793,16
1658149259,16
1658163599,16
1658192570,16
1658255570,16
1658255771,16
1658265950,16
1658282790,16
1658284116,16
1658341001,16
1658425295,17
1658438086,17
1658446145,17
1658446771,17
1658459993,17
1658514122,17
1658536177,17
1658552496,17
1658614184,17
1658631640,17
1658698072,17
1658768579,17
1658788810,17
1658856123,17
1658878855,17
1658879061,17
1658965224,17
1659041771,17
1659049567,17
1659055044,17
1659106101,17
1659116089,17
1659126296,17
1659137072,17
1659154611,17
1659160554,17
1659197509,17
1659228141,17
1659229848,17
1659252431,17
1659298084,17
