CODE,CSC207H1-F-20229-LEC-0101,CSC207H1-F-20229-LEC-0201,CSC207H1-F-20229-LEC-0301,CSC207H1-F-20229-LEC-0401,CSC207H1-F-20229-LEC-5101,CSC207H1-F-20229-LEC-5201
CAP,140,140,140,140,140,140
1656647689,0,0,0,0,0,0
1656655656,0,0,0,0,0,0
1656693722,0,0,0,0,0,0
1656799543,0,0,0,0,0,0
1657039029,0,0,0,0,0,0
1657124783,0,0,0,0,0,0
1657129900,0,0,0,0,0,0
1657154826,0,0,0,0,0,0
1657154927,0,0,0,0,0,0
1657157137,0,0,0,0,0,0
1657169424,0,0,0,0,0,0
1657171604,0,0,0,0,0,0
1657208564,0,0,0,0,0,0
1657224150,0,0,0,0,0,0
1657394888,0,0,0,0,0,0
1657522639,5,1,0,1,3,0
1657560897,5,1,0,1,3,0
1657592482,5,1,0,1,3,0
1657598158,5,1,0,1,3,0
1657657520,8,3,2,1,4,2
1657659549,8,3,2,1,4,2
1657678570,8,3,2,1,4,2
1657700365,8,3,2,1,4,2
1657734871,8,3,2,1,5,2
1657736010,8,3,2,1,5,2
1657737663,8,3,2,1,5,2
1657744779,8,3,2,1,5,2
1657780708,8,3,2,1,5,2
1657815709,8,3,2,1,5,2
1657827433,8,3,2,1,5,2
1657841414,8,3,2,1,5,2
1657851506,8,3,2,1,5,2
1657853745,8,3,2,1,5,2
1657868013,8,3,2,1,5,2
1657911016,50,12,10,6,14,10
1657914736,50,12,10,6,14,10
1657938194,50,12,10,6,14,10
1657991875,50,12,10,7,14,10
1658011950,50,12,10,7,14,10
1658085371,50,12,10,7,14,10
1658086263,50,12,10,7,14,10
1658101142,50,12,10,7,14,10
1658101460,50,12,10,7,14,10
1658117879,50,12,10,7,14,10
1658120793,50,12,10,7,14,10
1658149259,48,12,10,10,12,11
1658163599,48,12,10,10,12,11
1658192570,48,12,10,10,12,11
1658255570,165,150,83,122,40,31
1658255771,165,150,83,122,40,31
1658265950,165,150,83,122,40,31
1658282790,165,150,83,122,40,31
1658284116,165,150,83,122,40,31
1658341001,162,148,85,122,43,31
1658425295,162,147,85,123,43,32
1658438086,162,147,85,123,43,32
1658446145,162,147,85,123,43,32
1658446771,162,147,85,123,43,32
1658459993,162,147,85,123,43,32
1658514122,162,147,88,122,43,33
1658536177,162,147,88,122,43,33
1658552496,162,147,88,122,43,33
1658614184,162,146,88,123,43,33
1658631640,162,146,88,123,43,33
1658698072,162,146,89,124,44,33
1658768579,159,146,91,124,44,33
1658788810,159,146,91,124,44,33
1658856123,158,145,94,124,46,34
1658878855,158,145,94,124,46,34
1658879061,158,145,94,124,46,34
1658965224,154,144,97,125,47,35
1659041771,151,142,98,128,47,38
1659049567,151,142,98,128,47,38
1659055044,151,142,98,128,47,38
1659106101,151,143,98,128,47,38
1659116089,151,143,98,128,47,38
1659126296,151,143,98,128,47,38
1659137072,151,143,98,128,47,38
1659154611,151,143,98,128,47,38
1659160554,151,143,98,128,47,38
1659197509,170,158,157,157,129,72
1659228141,170,158,157,157,129,72
1659229848,170,158,157,157,129,72
1659252431,170,158,157,157,129,72
1659298084,171,159,157,157,134,75
