CODE,ECO351H1-F-20229-LEC-0101
CAP,75
1656647689,0
1656655656,0
1656693722,0
1656799543,0
1657039029,0
1657124783,0
1657129900,0
1657154826,0
1657154927,0
1657157137,0
1657169424,0
1657171604,0
1657208564,0
1657224150,0
1657394888,0
1657522639,1
1657560897,1
1657592482,1
1657598158,1
1657657520,6
1657659549,6
1657678570,6
1657700365,6
1657734871,6
1657736010,6
1657737663,6
1657744779,6
1657780708,6
1657815709,7
1657827433,7
1657841414,7
1657851506,7
1657853745,7
1657868013,7
1657911016,11
1657914736,11
1657938194,11
1657991875,11
1658011950,11
1658085371,11
1658086263,11
1658101142,11
1658101460,11
1658117879,11
1658120793,11
1658149259,11
1658163599,11
1658192570,11
1658255570,13
1658255771,13
1658265950,13
1658282790,13
1658284116,13
1658341001,13
1658425295,13
1658438086,13
1658446145,13
1658446771,13
1658459993,13
1658514122,13
1658536177,13
1658552496,13
1658614184,13
1658631640,13
1658698072,13
1658768579,13
1658788810,13
1658856123,13
1658878855,13
1658879061,13
1658965224,13
1659041771,13
1659049567,13
1659055044,13
1659106101,13
1659116089,13
1659126296,13
1659137072,13
1659154611,13
1659160554,13
1659197509,14
1659228141,14
1659229848,14
1659252431,14
1659298084,14
