CODE,PCL102H1-S-20229-LEC-0101
CAP,500
1656647697,0
1656655667,0
1656693731,0
1656799552,0
1657039041,0
1657124791,0
1657129909,0
1657154834,0
1657154935,0
1657157146,0
1657169433,0
1657171616,0
1657208573,0
1657224158,0
1657394896,0
1657522648,0
1657560905,0
1657592491,0
1657598166,0
1657657537,0
1657659562,0
1657678580,0
1657700377,0
1657734892,0
1657736031,0
1657737680,0
1657744796,0
1657780717,0
1657815723,0
1657827444,0
1657841424,0
1657851524,0
1657853756,0
1657868023,0
1657911025,1
1657914749,1
1657938204,1
1657991885,1
1658011963,1
1658085387,1
1658086283,1
1658101152,1
1658101473,1
1658117893,1
1658120808,1
1658149282,1
1658163609,1
1658192584,1
1658255580,6
1658255781,6
1658265969,6
1658282799,6
1658284132,6
1658341011,7
1658425310,8
1658438101,8
1658446157,8
1658446785,8
1658460004,8
1658514131,468
1658536189,468
1658552506,468
1658614194,470
1658631652,470
1658698082,473
1658768591,478
1658788819,478
1658856132,478
1658878866,478
1658879072,478
1658965232,482
1659041782,487
1659049575,487
1659055055,487
1659106110,487
1659116097,487
1659126308,487
1659137081,487
1659154622,487
1659160562,487
1659197518,613
1659228149,613
1659229856,613
1659252439,613
1659298092,615
