CODE,SPA275H1-S-20229-LEC-0101
CAP,80
1656647697,0
1656655667,0
1656693731,0
1656799552,0
1657039041,0
1657124791,0
1657129909,0
1657154834,0
1657154935,0
1657157146,0
1657169433,0
1657171616,0
1657208573,0
1657224158,0
1657394896,0
1657522648,0
1657560905,0
1657592491,0
1657598166,0
1657657537,10
1657659562,10
1657678580,10
1657700377,10
1657734892,9
1657736031,9
1657737680,9
1657744796,9
1657780717,9
1657815723,10
1657827444,10
1657841424,10
1657851524,10
1657853756,10
1657868023,10
1657911025,16
1657914749,16
1657938204,16
1657991885,16
1658011963,16
1658085387,17
1658086283,17
1658101152,17
1658101473,17
1658117893,17
1658120808,17
1658149282,17
1658163609,17
1658192584,17
1658255580,22
1658255781,22
1658265969,22
1658282799,22
1658284132,22
1658341011,22
1658425310,22
1658438101,22
1658446157,22
1658446785,22
1658460004,22
1658514131,24
